csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
55,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-091c79057a0e4c118a195492418f79a0,ord_dataset-7d8f5fd922d4497d91cb81489b052746,994,ea27dc436189d785c65df4c098ed52e4063146fe5e9c3008dd56560d15cf27d8,science_hte_campaign_a04d9653a525
56,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0921b3f020274752a7fd9cc4230040c8,ord_dataset-7d8f5fd922d4497d91cb81489b052746,5,a43b3ac4441185b5f5dac5c0d3edb494a83eaad551261a66eb14859275b49242,science_hte_campaign_ac8fc337e171
57,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0937f5a5ce2b4bfb9321e1cda70a4193,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1252,8ba0efd85da5286c9cbd006c0d5e3ce2b13b6a73341dfa79882400b7570c483e,science_hte_campaign_62bdfe294f99
58,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0940013d84674f8980f8cc5d2acba9de,ord_dataset-7d8f5fd922d4497d91cb81489b052746,460,3246f9b3464e8e32f3d1b9044d153e7797c9207257823df8d30350d7e238957e,science_hte_campaign_aeefa100ca4f
59,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0999de8912624407bab312a0580949d9,ord_dataset-7d8f5fd922d4497d91cb81489b052746,128,bd5f87156b93ff0fd5eddb8ba0c7cc2c46a6cd5964fa542b187d0cbae2571c02,science_hte_campaign_c99fb883b4d8
60,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-09b5f8c52cc640e09363d456b919a7fa,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1006,b2d54c2044b2141781c8015658ed01b24a2f4451f51c779f2103e9067a1d39cc,science_hte_campaign_a04d9653a525
61,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-09ce5db9eaef4b27bf5ea018e9342258,ord_dataset-7d8f5fd922d4497d91cb81489b052746,197,d99ae22457ef5001f0082ca21dc43956e9b74e06114ed925396c4512da50d313,science_hte_campaign_f324e61c5fa2
62,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0a2df4dcac434e83b804ed9851237d0a,ord_dataset-7d8f5fd922d4497d91cb81489b052746,456,2316ef433f7536d3dce64045c8393f414e4c50cb96e5f480e26d3101ffca1a43,science_hte_campaign_aeefa100ca4f
63,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0a732c13a03a4965a7be1af7d1f4931a,ord_dataset-7d8f5fd922d4497d91cb81489b052746,745,68fbab03e456dd8708b6fbdcdd7d7dc39360742ea8f46692611243ac6be4dab5,science_hte_campaign_5dd9abf370cb
64,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0a7b197ea8f54094aac888781276e932,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1504,19281d3c0a2177f490edb5dca58111310712afdc9c8c8c67ebf539999c05d8fc,science_hte_campaign_ca267bf88824
