reactant-1,reactant-2,catalyst-1,catalyst-2,catalyst-3,catalyst-4,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,illumination_wavelength_nm,reflux_value,yield_percent
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(Br)c3C2)CN1C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(N4CCCCC4)c3C2)CN1C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,0.0
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,55.0,57600.0,495.0,0.0,3.4639334678649902
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(N4CCCCC4)c3C2)CN1C(=O)OCc1ccccc1,55.0,57600.0,495.0,0.0,35.172874450683594
O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(Br)cc(F)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(N3CCCCC3)cc(F)cc21,55.0,57600.0,495.0,0.0,0.0
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CN1C(=O)C[C@@](C)(c2cc(N3CCCCC3)cs2)N/C1=N/C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,0.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(Br)c3C2)CN1C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(N4CCCCC4)c3C2)CN1C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,0.0
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCCc1nc2ccc(N3CCCCC3)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,55.0,57600.0,495.0,0.0,42.7027587890625
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CN1C(=O)C[C@@](C)(c2cc(N3CCCCC3)cs2)N/C1=N/C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,19.099462509155273
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(Br)c3C2)CN1C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(N4CCCCC4)c3C2)CN1C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,38.60181427001953
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(N3CCCCC3)c2)n(CCO)c1=O,55.0,57600.0,495.0,0.0,14.468149185180664
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(N2CCCCC2)c(F)c1,55.0,57600.0,495.0,0.0,5.1196608543396
O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(Br)cc(F)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(N3CCCCC3)cc(F)cc21,55.0,57600.0,495.0,0.0,0.0
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,55.0,57600.0,495.0,0.0,0.0
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,55.0,57600.0,495.0,0.0,24.441524505615234
O=C(c1c[nH]c2ccc(Br)cc12)[C@H]1CCCN1C(=O)OCc1ccccc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(c1c[nH]c2ccc(N3CCCCC3)cc12)[C@H]1CCCN1C(=O)OCc1ccccc1,55.0,57600.0,495.0,0.0,22.437952041625977
